nconst,primaryName,birthYear,deathYear,primaryProfession,knownForTitles
nm1774132,Nathan McLaughlin,1973,\N,"special_effects,make_up_department","tt0417686,tt1713976,tt1891860,tt0454839"
nm10683464,Bridge Andrew,\N,\N,actor,tt7718088
nm1021485,Brandon Fransvaag,\N,\N,miscellaneous,tt0168790
nm6940929,Erwin van der Lely,\N,\N,miscellaneous,tt4232168
nm5764974,Svetlana Shypitsyna,\N,\N,actress,tt3014168
nm8621807,Utku Arslan,\N,\N,actor,"tt5493404,tt7661932,tt0845088,tt9278408"
nm0415875,Mihály Jakab,\N,\N,transportation_department,tt0242160
nm7082726,Ernesto Ballén,\N,\N,actor,"tt8696516,tt6407610,tt2707408,tt4392976"
nm5903442,Jen Brown,\N,\N,actress,tt3145724
nm1744604,Tatyana Kuzmichyova,\N,\N,"editor,assistant_director,costume_department","tt0420982,tt1186366,tt0417552,tt0847880"
nm8581827,Joel Capps,\N,\N,actor,tt6245544
nm4404596,Roger Caadan,\N,\N,costume_department,tt1483429
nm1669765,Jim Boutet,1930,2004,actor,"tt0414476,tt0106067"
nm3211206,Mi Young Jo,\N,\N,animation_department,tt0101178
nm3123793,Maksim Romanov,\N,\N,"actor,writer","tt8777220,tt1075829"
nm8651439,Aleksandr Tretyakov,\N,\N,art_department,tt5528188
nm8856913,Elisabete Dias,\N,\N,miscellaneous,tt0487823
nm6091094,Alexandru Marinescu,\N,\N,,tt3336094
nm5711171,Daaren Boreham,\N,\N,miscellaneous,tt2960352
nm3678548,Rie Miyamoto,\N,\N,actor,"tt3134050,tt1541662"
nm7130434,Manuela Grippi,\N,\N,actor,"tt3835904,tt4457208"
nm8701519,Katarina Kovacova,\N,\N,miscellaneous,tt6413760
nm2670763,Nigel Holland,1980,\N,"stunts,miscellaneous","tt0867222,tt0462125"
nm3015632,Adrienne Unae,\N,\N,actress,tt1233605
nm4635237,Emmanuel Baudoux,\N,\N,actor,tt0172057
nm0866832,Cyrene Tomlinson,\N,\N,actress,"tt0932859,tt0106611"
nm10283208,Joonoo Park,\N,\N,,tt8727570
nm5492835,Blaise Musipere,\N,\N,actor,"tt0144724,tt2661016,tt2953742"
nm2074883,Barun Chakravorthy,\N,\N,music_department,tt0405266
nm5663704,Chris Keefe,\N,\N,actor,tt2899272
nm2279245,Elizabeth Gardner,\N,\N,script_department,tt0384237
nm6720918,Josh Greenwood,\N,\N,miscellaneous,tt3920082
nm2034444,Carole Dufour,\N,\N,producer,"tt2147731,tt0475207,tt0481327,tt2287307"
nm3579039,John Delahunt,\N,\N,actor,"tt1496773,tt2102295"
nm2464791,Mattia Battistini,1856,1928,actor,"tt0933109,tt0906582"
nm8696915,Rodrigo Sena,\N,\N,miscellaneous,tt5685938
nm7025761,Metin Namlisesli,\N,\N,"producer,production_manager","tt9124840,tt4321754,tt11020184,tt6677500"
nm8601290,Lisa Meitin,\N,\N,sound_department,"tt5104902,tt7316232,tt5104954,tt7344644"
nm8825295,Emily Kneeter,\N,\N,camera_department,"tt6426638,tt9269338"
nm3091629,Luke Carpenter,\N,\N,,tt1046237
nm7476036,Zoe Klien,\N,\N,actress,tt2948966
nm5430266,Mikaela Burton,\N,\N,"producer,production_manager,miscellaneous","tt2584364,tt5152178,tt4577036"
nm3816262,Sherman Poore,\N,\N,sound_department,tt1606717
nm3029057,Kuo-chin Mei,\N,\N,actress,"tt0194578,tt0292367"
nm3208110,Kelly Nixon,\N,\N,"actress,miscellaneous,camera_department","tt1462834,tt1329225,tt1717561,tt1500224"
nm3611779,David Alonso,\N,\N,transportation_department,tt0302447
nm8873607,João Silva,\N,\N,actor,"tt6744664,tt6690666,tt6916934"
nm4724396,Mauro Kirikou Verbiest,\N,\N,actor,tt0266647
nm5557746,Gregory Wilpert,\N,\N,,tt0400998
nm10998624,Dave,\N,\N,,tt0103549
nm6216742,Hiroki Matsukawa,\N,\N,actor,"tt5311514,tt7222086,tt10068158,tt0988818"
nm0363283,Charles Harley,\N,\N,actor,"tt0008125,tt0009706"
nm6601643,Donald Hicok,\N,\N,actor,tt3369710
nm6518188,Rolf-Dieter Lützen,\N,\N,miscellaneous,tt0890886
nm0764629,Elefteria Sapountzi,\N,\N,actress,"tt0255962,tt1111863,tt0274680,tt0292754"
nm4645761,Julie Verveken,\N,\N,actress,tt0172057
nm4819436,Bill Larrie,\N,\N,actor,"tt0128715,tt0141366"
nm1135616,Mayra Chardiet,\N,2006,actress,"tt0065506,tt0089298,tt0184334,tt0361177"
nm8491521,Darla Murray,\N,\N,,tt0081857
nm7668121,Emily Bennett,\N,\N,actress,tt5116584
nm0617305,Francisco Márquez,\N,\N,"writer,director,assistant_director","tt1854293,tt4450806,tt11732324,tt5623224"
nm4764865,Jozef Jurcisin Kukla,\N,\N,actor,"tt2099457,tt7379170,tt1860489,tt4417902"
nm2748755,Andrew Pope,\N,\N,"producer,writer,camera_department","tt1518812,tt1426748,tt1780826,tt3141838"
nm4501148,Felicia Niculescu,\N,\N,production_manager,"tt0071651,tt0173158,tt0152241,tt0151051"
nm0128357,Frankie Caero,\N,\N,actor,"tt0421316,tt0212395,tt0107318,tt0141842"
nm4851964,Amadito Velazco,\N,\N,music_department,tt1235830
nm0122663,F. Pat Burns,\N,\N,actor,tt0101393
nm4548117,Ton Brevoord,\N,\N,art_department,tt0179009
nm7916876,Kyle Donnelly,\N,\N,"sound_department,miscellaneous","tt5001852,tt7140462"
nm4829906,José Antonio García,\N,\N,,tt2097312
nm4401014,Henry Alberto Suarez,\N,\N,actor,tt1881075
nm2706302,Matthew Fuchs,\N,\N,art_department,"tt0796366,tt0396269,tt0371746,tt0438315"
nm0598225,Kevin Monk,\N,\N,"writer,actor","tt3012540,tt1898937,tt0105117,tt1600757"
nm5477293,Barry Morris,1935,2015,miscellaneous,"tt1974470,tt0101373"
nm0167483,Jean-Claude Clément,\N,\N,actor,tt0074423
nm1686754,Michael Healey,\N,\N,camera_department,"tt0086729,tt0243073,tt0254024,tt0139765"
nm7708649,Karl Fabien,\N,\N,"miscellaneous,actor","tt7187686,tt5176886,tt7122856"
nm1081925,Harry Mooradian,\N,\N,actor,tt0183696
nm6160025,Tracy Liu,\N,\N,actress,tt3410974
nm3786654,Steve Wygmans,\N,\N,"art_department,set_decorator,art_director","tt3163828,tt1560954,tt1682940,tt2336507"
nm1676471,Doug Howarth,\N,\N,editor,"tt11167878,tt8630190,tt1023502,tt1793869"
nm0148326,Jason Centeno,\N,\N,"writer,actor","tt0398572,tt0140587"
nm2352500,Michèle Neukens,\N,\N,animation_department,tt0074539
nm2003263,Michelle Collette,\N,\N,camera_department,"tt0470122,tt1976548"
nm1561562,James Hirsen,\N,\N,actor,"tt1084172,tt0961117,tt3230014,tt0192897"
nm3932092,David Scott,\N,\N,"sound_department,actor,miscellaneous","tt1343091,tt1450324,tt7369734,tt2103188"
nm1729748,Peter Carstiuc,\N,\N,cinematographer,"tt0424811,tt0092491"
nm4675881,Lovrin Tomasevic,\N,\N,actor,tt2033827
nm10676686,Rebecca Joviano,\N,\N,producer,tt10298188
nm6253203,Elliott Whitton,\N,\N,"miscellaneous,producer,executive","tt7125860,tt5649144,tt7772582,tt5688932"
nm11209157,Joe Grossman,\N,\N,miscellaneous,tt3281548
nm6071149,Willy Cooper,\N,\N,composer,tt3317616
nm4474115,Swapna Mitra,\N,\N,actress,tt1920888
nm1584645,John Crawford,1960,\N,actor,tt0403505
nm10037917,Richard Moore,\N,\N,actor,tt7629780
nm3138496,Didi Riyadi,\N,\N,"actor,director","tt1293629,tt3239582"
nm3857474,Sophie McNicholas,\N,\N,production_manager,tt1604150
nm3729357,Camille Montgomery,\N,\N,"actress,soundtrack","tt5012644,tt4602554,tt6255042"
nm4137344,Joseph Kruszewski,\N,\N,actor,tt1754242
nm8072245,Dan Kaufman,\N,\N,"producer,miscellaneous","tt6567162,tt8618942,tt7612296,tt5599918"
nm2655295,Emily Julius,\N,\N,"producer,production_manager,miscellaneous","tt0497073,tt1257809,tt7512950,tt0146386"
nm4333623,James Cronin,\N,\N,camera_department,tt0974613
nm7609849,Felipe Vanegas Castañeda,\N,\N,set_decorator,tt5049212
nm3563402,Yonit Hannah Olshan Cohen,\N,\N,costume_designer,tt1451706
nm0604422,Rafi Morfugo,\N,\N,miscellaneous,tt0214213
nm7343009,Angela Does,\N,\N,actress,tt4701810
nm3158976,Tasha Morris,\N,\N,"miscellaneous,production_manager,actress","tt0790712,tt2465316,tt4008296,tt0758784"
nm2200768,Kelly Yu-Chieh Lin,\N,\N,music_department,tt0475365
nm3805817,Fraser Hooke,\N,\N,actor,tt0359050
nm6617901,Sina Müller,\N,\N,actress,tt2356464
nm3252344,Germelina Castro,\N,\N,actress,tt0229919
nm0382907,Lois Hicks,\N,\N,actress,"tt0118460,tt0119210,tt0116823,tt0124102"
nm5219860,Ray Haddad,\N,\N,"composer,director,camera_department","tt2565564,tt2466608,tt2345242,tt2890806"
nm5908028,Ken'ichi Makino,\N,\N,actor,tt0110630
nm9353159,Satoru Saitou,\N,\N,actor,"tt3505800,tt11063522"
nm5110173,Taylor Olowin,\N,\N,"actress,costume_department","tt8258926,tt7999322,tt11868392,tt3955638"
nm3358591,Iveta Vítová,1983,\N,,"tt1368434,tt1784380,tt1796399,tt1784381"
nm4752982,Motoaki Fukuda,\N,\N,director,tt2099653
nm7574457,Chris Markle,\N,\N,"actor,writer,producer","tt3219686,tt1844624,tt9173376,tt1950186"
nm7163683,Kyle Sanderson,\N,\N,"actor,miscellaneous,editor","tt7670934,tt8942982,tt7224816,tt5767638"
nm0866272,Carlos Tolve,\N,\N,actor,tt0123307
nm0707871,T. Janaki Ram,\N,\N,director,"tt0251016,tt0251383"
nm5557758,Dan Canyon,\N,\N,"director,editor",tt2752790
nm9230160,Mike Chiavetta,\N,\N,,tt7293016
nm1675519,Yosuke Takahashi,\N,\N,actor,"tt2146543,tt0419821,tt1842939,tt6304676"
nm8299650,Pablo Galbusera y los Nómades,\N,\N,,tt2070365
nm8578812,Aleksandr Evdokimov,\N,\N,cinematographer,tt6241942
nm4016335,Nina Rantala,\N,\N,actress,"tt1702615,tt1880896"
