tconst,director_name,writer_name
tt0011414,David Kirkland,"John Emerson,Anita Loos"
tt0011890,Roy William Neill,"Arthur F. Goodrich,Burns Mantle,Mary Murillo"
tt0014341,"Buster Keaton,John G. Blystone","Jean C. Havez,Clyde Bruckman,Joseph A. Mitchell"
tt0018054,Cecil B. DeMille,Jeanie Macpherson
tt0024151,James Cruze,"Max Miller,Wells Root,Jack Jevne"
tt0025981,Alan James,"Basil Dickey,Alan James"
tt0027332,Howard Bretherton,"Clarence E. Mulford,Doris Schroeder,Gerald Geraghty"
tt0027415,Howard Bretherton,"Clarence E. Mulford,Doris Schroeder,Vernon Smith"
tt0028326,Ray Taylor,"J.E. Grinstead,Earle Snell"
tt0028657,Ray Taylor,"Frances Guihan,Forrest Brown"
tt0029994,Charles Lamont,"Arthur Hoerl,Monroe Shaff"
tt0030392,Stanley Logan,"Clements Ripley,Michael Jacoby,Robert Buckner,Lawrence Kimble,Stephen Vincent Benet"
tt0030399,Ladislao Vajda,"Miklos Kadar,László Kádár,Károly Nóti,Imre Éri-Halász"
tt0035802,Hugo Bolander,"Ragnhild Prim,Harry Iseborg"
tt0036126,"Mervyn LeRoy,Albert Lewin","Paul Osborn,Hans Rameau,Ève Curie,Walter Reisch,Aldous Huxley"
tt0036400,Akira Kurosawa,"Akira Kurosawa,Tsuneo Tomita"
tt0036980,Kajirô Yamamoto,"Kajirô Yamamoto,Kenta Yamazaki"
tt0037256,Wesley Ruggles,"Marion Hargrove,Harry Kurnitz,Herman J. Mankiewicz"
tt0037534,Henry King,"Lamar Trotti,Norman Reilly Raine,John Hersey"
tt0038010,Fyodor Otsep,"Bella Daniel,Jean Desprez"
tt0039391,"Otto Preminger,John M. Stahl","Philip Dunne,Ring Lardner Jr.,Jerome Cady,Kathleen Winsor"
tt0040053,"Byron Paul,Kenneth Whelan,Bob Schwarz,Clarence Schimmel,Robert Precht,John Wray,Tim Kiley,John Moffitt,Robert Bleyer","Norman Corwin,John Rapp,Lester A. White,Jerry Bresler,Lyn Duddy,Robert Precht,Robert Mott,Buddy Arnold,Joe Bigelow,Frank Shuster,Johnny Wayne,Jerry Juhl"
tt0041468,Manuel Romero,"Enrique Cadícamo,Francisco García Jiménez,Manuel Romero"
